ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
I00_I99,2011_2015,10,AirSVI,0.00,"39.91(36.34,43.32)","-2.17(-5.49,1.13)","30.64(27.19,34.16)",0.0002,1.0010,2606,2769,0.1877,1.0002,2708,2954,0.0002,1.0012,2510,3120,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM","0.00","21.98(18.67,25.27)","9.23(6.21,12.31)","23.22(19.87,26.30)","0.0002","1.0011",2375,2771,"0.0002","1.0003",2591,3200,"0.0002","1.0005",2242,3193,"7.48(7.17,7.79)","0.0002","1.0042",1270,2053,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA","0.00","23.38(19.73,27.07)","7.16(3.92,10.45)","25.16(21.78,28.61)","0.0002","1.0013",2479,2895,"0.0002","1.0020",2761,2713,"0.0002","1.0027",2651,2743,"",NA,"NA",NA,NA,"-4.07(-4.43,-3.71)","0.0002","1.0027",1808,2190,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB","0.00","26.58(23.18,29.95)","9.23(6.13,12.40)","28.25(24.93,31.58)","0.0002","1.0019",3040,3356,"0.0002","1.0021",3429,3370,"0.0002","1.0015",3172,3588,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.27(5.02,5.52)","0.0002","1.0035",1426,2261,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+UN","0.00","41.78(38.17,45.43)","-4.02(-7.49,-0.42)","31.02(27.48,34.57)","0.0002","1.0021",2134,2852,"0.0252","1.0029",2015,2510,"0.0002","1.0036",1982,2521,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.94(-1.42,-0.46)","0.0002","1.0038",1597,2572,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PD","0.00","39.40(36.04,42.84)","0.82(-2.53,4.17)","33.70(30.10,37.13)","0.0002","1.0019",1947,2973,"0.6359","1.0027",2321,3035,"0.0002","1.0045",2185,2747,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.04(-0.05,-0.03)","0.0002","1.0014",3866,3562,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+DB","0.00","20.53(16.92,24.30)","1.43(-1.75,4.69)","18.21(14.60,21.71)","0.0002","1.0010",1647,2668,"0.3810","1.0028",2022,3118,"0.0002","1.0020",1835,2487,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"12.89(11.85,13.98)","0.0002","1.0024",652,1271
"I00_I99","2011_2015",10,"AirSVI+SM+PA","0.00","22.06(18.67,25.50)","9.13(5.95,12.35)","23.24(19.94,26.50)","0.0002","1.0015",2616,3265,"0.0002","1.0019",2740,3220,"0.0002","1.0018",2353,3363,"7.47(7.15,7.79)","0.0002","1.0034",1762,3025,"0.02(-0.14,0.18)","0.8171","1.0128",720,1788,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+OB","0.00","20.08(16.69,23.39)","10.29(7.33,13.39)","23.41(20.05,26.62)","0.0002","1.0012",2423,3426,"0.0002","1.0029",2259,3098,"0.0002","1.0017",2196,2806,"5.53(5.12,5.95)","0.0002","1.0036",2110,2991,"",NA,"NA",NA,NA,"2.21(1.88,2.54)","0.0002","1.0013",1710,2516,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+UN","0.00","25.36(21.91,28.72)","6.62(3.51,9.71)","24.25(21.01,27.40)","0.0002","1.0008",2826,3354,"0.0002","1.0000",3100,3538,"0.0002","1.0002",2905,3380,"7.95(7.62,8.28)","0.0002","1.0019",1252,2602,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.96(-2.35,-1.56)","0.0002","1.0011",1916,3218,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PD","0.00","21.59(18.27,25.07)","7.77(4.73,10.91)","21.34(17.96,24.79)","0.0002","1.0024",2532,3252,"0.0002","1.0016",2601,3222,"0.0002","1.0016",2301,2697,"7.64(7.33,7.95)","0.0002","1.0042",1450,2146,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0006",4008,3806,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+DB","0.00","13.86(10.43,17.32)","8.06(5.00,11.02)","17.01(13.64,20.26)","0.0002","1.0030",2653,3261,"0.0002","1.0014",2930,3448,"0.0002","1.0027",2674,3271,"6.17(5.83,6.51)","0.0002","1.0020",2670,2831,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.64(5.77,7.47)","0.0002","1.0023",2344,3318
"I00_I99","2011_2015",10,"AirSVI+PA+OB","0.00","25.92(22.56,29.37)","10.30(6.99,13.64)","28.35(25.10,31.72)","0.0002","1.0012",2507,3036,"0.0002","1.0014",2698,3331,"0.0002","1.0008",2381,2932,"",NA,"NA",NA,NA,"-0.18(-0.34,-0.02)","0.0294","1.0021",1338,2620,"5.40(5.12,5.65)","0.0002","1.0014",1610,2748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+UN","0.00","26.29(22.73,29.80)","3.35(0.03,6.67)","25.52(22.14,28.78)","0.0002","1.0019",2171,2685,"0.0469","1.0026",2197,2503,"0.0002","1.0013",2132,2448,"",NA,"NA",NA,NA,"-4.99(-5.39,-4.59)","0.0002","1.0026",1532,2042,"",NA,"NA",NA,NA,"-3.13(-3.55,-2.69)","0.0002","1.0030",1892,1986,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+PD","0.00","23.42(19.74,27.00)","7.13(3.94,10.37)","25.24(21.80,28.67)","0.0002","1.0014",2566,2875,"0.0002","1.0013",2888,3187,"0.0002","1.0010",2641,2929,"",NA,"NA",NA,NA,"-4.05(-4.43,-3.66)","0.0002","1.0018",2073,2858,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.01,0.01)","0.7617","1.0016",3669,3397,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA+DB","0.00","21.30(17.37,24.95)","0.11(-3.23,3.53)","17.83(14.20,21.40)","0.0002","1.0004",2280,3075,"0.9563","1.0016",2732,3141,"0.0002","1.0010",2335,2918,"",NA,"NA",NA,NA,"0.64(0.48,0.80)","0.0002","1.0047",819,2097,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"13.98(13.10,14.83)","0.0002","1.0030",1428,2529
"I00_I99","2011_2015",10,"AirSVI+OB+UN","0.00","29.50(25.99,33.04)","7.21(4.02,10.34)","29.43(26.07,32.77)","0.0002","1.0009",3445,3566,"0.0002","1.0016",3199,3488,"0.0002","1.0015",3127,3568,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.67(5.41,5.94)","0.0002","1.0050",1080,2392,"-1.72(-2.13,-1.30)","0.0002","1.0005",2585,3403,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB+PD","0.00","26.21(22.76,29.65)","7.63(4.27,10.83)","26.26(22.98,29.58)","0.0002","1.0000",3766,3875,"0.0002","1.0011",3614,3915,"0.0002","1.0003",3259,3753,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.41(5.17,5.64)","0.0002","1.0037",1157,2074,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0009",5097,3764,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB+DB","0.00","23.55(19.94,27.08)","8.33(5.14,11.56)","25.39(21.81,28.95)","0.0002","1.0008",2373,3595,"0.0002","1.0025",2189,3054,"0.0002","1.0015",2057,3251,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.50(4.11,4.89)","0.0002","1.0067",1132,2281,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.21(1.98,4.49)","0.0002","1.0033",1848,2512
"I00_I99","2011_2015",10,"AirSVI+UN+PD","0.00","41.96(38.34,45.46)","-1.14(-4.62,2.41)","34.67(31.05,38.19)","0.0002","1.0009",2837,3233,"0.5097","1.0008",2745,2992,"0.0002","1.0029",2609,3264,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.24(-1.70,-0.79)","0.0002","1.0027",2534,2794,"-0.04(-0.05,-0.03)","0.0002","1.0013",4137,3426,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+UN+DB","0.00","23.66(19.94,27.30)","-2.28(-5.58,1.02)","18.83(15.34,22.23)","0.0002","1.0025",2013,3148,"0.1856","1.0009",2187,3038,"0.0002","1.0034",2207,2739,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.85(-2.30,-1.40)","0.0002","1.0031",1502,2833,"",NA,"NA",NA,NA,"13.10(12.16,14.11)","0.0002","1.0025",1334,2300
"I00_I99","2011_2015",10,"AirSVI+PD+DB","0.00","20.94(17.04,24.77)","1.97(-1.38,5.38)","19.16(15.45,22.88)","0.0002","1.0040",1622,1926,"0.2510","1.0018",1721,2734,"0.0002","1.0035",1655,2481,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.01(-0.02,0.00)","0.0914","1.0017",2414,3074,"12.57(11.49,13.67)","0.0002","1.0080",668,1328
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB","0.00","18.91(15.44,22.21)","11.91(8.78,15.09)","23.45(20.14,26.63)","0.0002","1.0015",3007,3496,"0.0002","1.0001",3234,3625,"0.0002","1.0017",2908,3430,"5.56(5.16,5.96)","0.0002","1.0013",2792,3200,"-0.29(-0.45,-0.13)","0.0010","1.0040",1577,2674,"2.38(2.05,2.73)","0.0002","1.0021",2524,2900,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+UN","0.00","25.91(22.40,29.43)","5.90(2.66,9.09)","24.32(21.11,27.60)","0.0002","1.0014",2107,2673,"0.0002","1.0032",1945,2623,"0.0002","1.0026",1894,2566,"7.92(7.58,8.25)","0.0002","1.0008",1936,2497,"0.14(-0.02,0.30)","0.0852","1.0079",735,1642,"",NA,"NA",NA,NA,"-2.01(-2.42,-1.61)","0.0002","1.0017",1946,2565,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+PD","0.00","21.22(17.70,24.70)","8.17(5.05,11.36)","21.17(17.77,24.67)","0.0002","1.0005",2405,3186,"0.0002","1.0032",2135,2730,"0.0002","1.0022",2079,2699,"7.72(7.39,8.06)","0.0002","1.0034",1786,2637,"-0.10(-0.27,0.06)","0.2306","1.0057",903,1869,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0007",3360,3551,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+DB","0.00","13.53(10.01,17.04)","8.40(5.26,11.56)","16.94(13.61,20.34)","0.0002","1.0015",2222,2856,"0.0002","1.0023",2348,3211,"0.0002","1.0027",2022,2830,"6.21(5.85,6.55)","0.0002","1.0018",2734,3243,"-0.07(-0.22,0.08)","0.3297","1.0043",1335,2409,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.67(5.81,7.55)","0.0002","1.0028",1722,2539
"I00_I99","2011_2015",10,"AirSVI+SM+OB+UN","0.00","24.08(20.77,27.29)","7.25(4.29,10.29)","24.66(21.45,27.88)","0.0002","1.0015",2734,3201,"0.0002","1.0025",2281,3152,"0.0002","1.0025",2483,2981,"5.87(5.46,6.29)","0.0002","1.0001",2511,2964,"",NA,"NA",NA,NA,"2.60(2.28,2.92)","0.0002","1.0031",1591,2738,"-2.49(-2.87,-2.11)","0.0002","1.0043",1997,3196,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+OB+PD","0.00","19.43(16.10,22.95)","8.03(4.94,11.17)","20.54(17.12,24.02)","0.0002","1.0025",2036,2758,"0.0002","1.0010",2118,3057,"0.0002","1.0032",1649,2331,"5.61(5.22,6.02)","0.0002","1.0010",1781,2740,"",NA,"NA",NA,NA,"2.35(2.02,2.66)","0.0002","1.0038",1204,2080,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0028",3059,3514,"",NA,"NA",NA,NA
